Text,Entities
Atom,"[(0, 4, 'SKILL')]"
Sublime Text,"[(0, 12, 'SKILL')]"
Vim,"[(0, 3, 'SKILL')]"
Emacs,"[(0, 5, 'SKILL')]"
Notepad++,"[(0, 9, 'SKILL')]"
Visual Studio Code,"[(0, 19, 'SKILL')]"
Xcode,"[(0, 5, 'SKILL')]"
Android Studio,"[(0, 14, 'SKILL')]"
PyCharm,"[(0, 7, 'SKILL')]"
Jupyter Notebooks,"[(0, 17, 'SKILL')]"
RStudio,"[(0, 7, 'SKILL')]"
MATLAB,"[(0, 6, 'SKILL')]"
Anaconda,"[(0, 8, 'SKILL')]"
Spyder,"[(0, 6, 'SKILL')]"
Docker,"[(0, 6, 'SKILL')]"
Kubernetes,"[(0, 11, 'SKILL')]"
Vagrant,"[(0, 7, 'SKILL')]"
VirtualBox,"[(0, 11, 'SKILL')]"
VMware,"[(0, 6, 'SKILL')]"
Wireshark,"[(0, 9, 'SKILL')]"
Postman,"[(0, 7, 'SKILL')]"
Swagger,"[(0, 7, 'SKILL')]"
SoapUI,"[(0, 6, 'SKILL')]"
Jenkins,"[(0, 7, 'SKILL')]"
Travis CI,"[(0, 9, 'SKILL')]"
GitLab CI/CD,"[(0, 12, 'SKILL')]"
CircleCI,"[(0, 8, 'SKILL')]"
SonarQube,"[(0, 9, 'SKILL')]"
Selenium,"[(0, 8, 'SKILL')]"
Jira,"[(0, 4, 'SKILL')]"
Trello,"[(0, 6, 'SKILL')]"
Asana,"[(0, 5, 'SKILL')]"
Confluence,"[(0, 10, 'SKILL')]"
Slack,"[(0, 5, 'SKILL')]"
Mattermost,"[(0, 10, 'SKILL')]"
Rocket.Chat,"[(0, 11, 'SKILL')]"
Discord,"[(0, 7, 'SKILL')]"
Zoom,"[(0, 4, 'SKILL')]"
Microsoft Teams,"[(0, 15, 'SKILL')]"
Webex,"[(0, 5, 'SKILL')]"
Google Meet,"[(0, 11, 'SKILL')]"
Figma,"[(0, 5, 'SKILL')]"
Sketch,"[(0, 6, 'SKILL')]"
Adobe XD,"[(0, 8, 'SKILL')]"
Zeplin,"[(0, 6, 'SKILL')]"
Blender,"[(0, 7, 'SKILL')]"
Unity,"[(0, 5, 'SKILL')]"
Unreal Engine,"[(0, 14, 'SKILL')]"
Godot Engine,"[(0, 11, 'SKILL')]"
AutoCAD,"[(0, 7, 'SKILL')]"
SolidWorks,"[(0, 11, 'SKILL')]"
CATIA,"[(0, 5, 'SKILL')]"
Creo,"[(0, 4, 'SKILL')]"
KiCad,"[(0, 5, 'SKILL')]"
Altium Designer,"[(0, 15, 'SKILL')]"
Eagle,"[(0, 5, 'SKILL')]"
TensorFlow,"[(0, 10, 'SKILL')]"
PyTorch,"[(0, 7, 'SKILL')]"
Keras,"[(0, 5, 'SKILL')]"
Scikit-learn,"[(0, 12, 'SKILL')]"
Pandas,"[(0, 6, 'SKILL')]"
NumPy,"[(0, 5, 'SKILL')]"
Matplotlib,"[(0, 11, 'SKILL')]"
Tableau,"[(0, 7, 'SKILL')]"
Power BI,"[(0, 8, 'SKILL')]"
QlikView,"[(0, 8, 'SKILL')]"
SAS,"[(0, 3, 'SKILL')]"
SPSS,"[(0, 4, 'SKILL')]"
R,"[(0, 1, 'SKILL')]"
Git,"[(0, 3, 'SKILL')]"
Mercurial,"[(0, 9, 'SKILL')]"
Subversion,"[(0, 10, 'SKILL')]"
CVS,"[(0, 3, 'SKILL')]"
Perforce,"[(0, 8, 'SKILL')]"
IntelliJ IDEA,"[(0, 13, 'SKILL')]"
Eclipse,"[(0, 7, 'SKILL')]"
NetBeans,"[(0, 8, 'SKILL')]"
Visual Studio,"[(0, 14, 'SKILL')]"
Atom,"[(0, 4, 'SKILL')]"
Sublime Text,"[(0, 12, 'SKILL')]"
Vim,"[(0, 3, 'SKILL')]"
Emacs,"[(0, 5, 'SKILL')]"
Notepad++,"[(0, 9, 'SKILL')]"
Visual Studio Code,"[(0, 19, 'SKILL')]"
Xcode,"[(0, 5, 'SKILL')]"
Android Studio,"[(0, 14, 'SKILL')]"
PyCharm,"[(0, 7, 'SKILL')]"
Jupyter Notebooks,"[(0, 17, 'SKILL')]"
RStudio,"[(0, 7, 'SKILL')]"
MATLAB,"[(0, 6, 'SKILL')]"
Anaconda,"[(0, 8, 'SKILL')]"
Spyder,"[(0, 6, 'SKILL')]"
Docker,"[(0, 6, 'SKILL')]"
Kubernetes,"[(0, 11, 'SKILL')]"
Vagrant,"[(0, 7, 'SKILL')]"
VirtualBox,"[(0, 11, 'SKILL')]"
VMware,"[(0, 6, 'SKILL')]"
Wireshark,"[(0, 9, 'SKILL')]"
Postman,"[(0, 7, 'SKILL')]"
Swagger,"[(0, 7, 'SKILL')]"
Mercurial,"[(0, 9, 'SKILL')]"
Subversion,"[(0, 10, 'SKILL')]"
CVS,"[(0, 3, 'SKILL')]"
Perforce,"[(0, 8, 'SKILL')]"
AWS Lambda,"[(0, 9, 'SKILL')]"
Apache NiFi,"[(0, 12, 'SKILL')]"
Apache ZooKeeper,"[(0, 15, 'SKILL')]"
Google Cloud Pub/Sub,"[(0, 19, 'SKILL')]"
Firebase Cloud Messaging (FCM),"[(0, 27, 'SKILL')]"
Azure Event Hubs,"[(0, 14, 'SKILL')]"
Azure Logic Apps,"[(0, 15, 'SKILL')]"
Azure Functions,"[(0, 14, 'SKILL')]"
Machine Learning Operations (MLOps),"[(0, 27, 'SKILL')]"
ModelOps,"[(0, 8, 'SKILL')]"
TensorFlow Extended (TFX),"[(0, 23, 'SKILL')]"
Kubeflow,"[(0, 8, 'SKILL')]"
DataRobot,"[(0, 8, 'SKILL')]"
MLflow,"[(0, 6, 'SKILL')]"
SageMaker,"[(0, 9, 'SKILL')]"
Amazon Comprehend,"[(0, 17, 'SKILL')]"
Dialogflow,"[(0, 11, 'SKILL')]"
Alexa Skills Kit (ASK),"[(0, 20, 'SKILL')]"
Chatbot development,"[(0, 19, 'SKILL')]"
Speech-to-text (STT) systems,"[(0, 25, 'SKILL')]"
Computer-aided design (CAD),"[(0, 25, 'SKILL')]"
Generative Design,"[(0, 16, 'SKILL')]"
Augmented Reality (AR),"[(0, 21, 'SKILL')]"
Virtual Reality (VR),"[(0, 16, 'SKILL')]"
3D printing,"[(0, 10, 'SKILL')]"
Computer vision,"[(0, 15, 'SKILL')]"
Natural Language Generation (NLG),"[(0, 28, 'SKILL')]"
Automated Speech Recognition (ASR),"[(0, 30, 'SKILL')]"
Optical Character Recognition (OCR),"[(0, 32, 'SKILL')]"
Robotic Process Automation (RPA),"[(0, 30, 'SKILL')]"
Process Mining,"[(0, 14, 'SKILL')]"
Quantum computing,"[(0, 17, 'SKILL')]"
Quantum programming languages (Qiskit, Q#),"[(0, 36, 'SKILL')]"
Quantum algorithms,"[(0, 18, 'SKILL')]"
Quantum cryptography,"[(0, 20, 'SKILL')]"
Quantum machine learning,"[(0, 24, 'SKILL')]"
Server-Sent Events (SSE),"[(0, 22, 'SKILL')]"
WebSockets,"[(0, 10, 'SKILL')]"
WebRTC (Real-Time Communication),"[(0, 27, 'SKILL')]"
Webhooks,"[(0, 8, 'SKILL')]"
CORS (Cross-Origin Resource Sharing),"[(0, 4, 'SKILL')]"
JSON Web Tokens (JWT),"[(0, 19, 'SKILL')]"
OAuth (Open Authorization),"[(0, 17, 'SKILL')]"
OAuth2.0 (Authorization framework),"[(0, 27, 'SKILL')]"
OpenID Connect (OIDC),"[(0, 17, 'SKILL')]"
WebAuthn (Web Authentication API),"[(0, 27, 'SKILL')]"
Identity and Access Management (IAM),"[(0, 31, 'SKILL')]"
RBAC (Role-Based Access Control),"[(0, 25, 'SKILL')]"
ABAC (Attribute-Based Access Control),"[(0, 30, 'SKILL')]"
CQRS (Command Query Responsibility Segregation),"[(0, 43, 'SKILL')]"
Event Sourcing,"[(0, 14, 'SKILL')]"
Micro Frontends,"[(0, 15, 'SKILL')]"
Progressive Web Apps (PWAs),"[(0, 24, 'SKILL')]"
Single Page Applications (SPAs),"[(0, 27, 'SKILL')]"
WebAssembly (Wasm),"[(0, 22, 'SKILL')]"
Web Components,"[(0, 14, 'SKILL')]"
OpenAPI Specification,"[(0, 21, 'SKILL')]"
gRPC-Web,"[(0, 8, 'SKILL')]"
Wireshark (Network protocol analyzer),"[(0, 35, 'SKILL')]"
Postman (API development and testing),"[(0, 29, 'SKILL')]"
Swagger (API documentation),"[(0, 23, 'SKILL')]"
SoapUI (API testing tool),"[(0, 7, 'SKILL')]"
Jenkins (Continuous Integration/Continuous Deployment),"[(0, 7, 'SKILL')]"
Travis CI (Continuous Integration),"[(0, 9, 'SKILL')]"
GitLab CI/CD (Continuous Integration/Continuous Deployment),"[(0, 14, 'SKILL')]"
CircleCI (Continuous Integration),"[(0, 9, 'SKILL')]"
SonarQube (Code quality analysis),"[(0, 12, 'SKILL')]"
Selenium (Web application testing),"[(0, 8, 'SKILL')]"
Jira (Project management and issue tracking),"[(0, 4, 'SKILL')]"
Trello (Project management),"[(0, 6, 'SKILL')]"
Asana (Project management),"[(0, 5, 'SKILL')]"
Confluence (Collaboration and documentation),"[(0, 10, 'SKILL')]"
Slack (Team communication),"[(0, 5, 'SKILL')]"
Mattermost (Open-source team communication),"[(0, 10, 'SKILL')]"
Rocket.Chat (Open-source team communication),"[(0, 12, 'SKILL')]"
Discord (Voice, video, and text communication),"[(0, 7, 'SKILL')]"
Zoom (Video conferencing),"[(0, 4, 'SKILL')]"
Microsoft Teams (Collaboration platform),"[(0, 15, 'SKILL')]"
Webex (Video conferencing),"[(0, 5, 'SKILL')]"
Google Meet (Video conferencing),"[(0, 12, 'SKILL')]"
Figma,"[(0, 5, 'SKILL')]"
Sketch,"[(0, 5, 'SKILL')]"
Adobe XD,"[(0, 8, 'SKILL')]"
Zeplin,"[(0, 6, 'SKILL')]"
Blender,"[(0, 7, 'SKILL')]"
Unity,"[(0, 5, 'SKILL')]"
Unreal Engine,"[(0, 12, 'SKILL')]"
Godot Engine,"[(0, 11, 'SKILL')]"
AutoCAD,"[(0, 7, 'SKILL')]"
SolidWorks,"[(0, 11, 'SKILL')]"
CATIA,"[(0, 5, 'SKILL')]"
Creo,"[(0, 4, 'SKILL')]"
KiCad,"[(0, 5, 'SKILL')]"
Altium Designer,"[(0, 14, 'SKILL')]"
Eagle,"[(0, 5, 'SKILL')]"
TensorFlow,"[(0, 10, 'SKILL')]"
PyTorch,"[(0, 7, 'SKILL')]"
Keras,"[(0, 5, 'SKILL')]"
Scikit-learn,"[(0, 12, 'SKILL')]"
Pandas,"[(0, 6, 'SKILL')]"
NumPy,"[(0, 5, 'SKILL')]"
Matplotlib,"[(0, 11, 'SKILL')]"
Tableau,"[(0, 7, 'SKILL')]"
Power BI,"[(0, 8, 'SKILL')]"
QlikView,"[(0, 8, 'SKILL')]"
SAS,"[(0, 3, 'SKILL')]"
SPSS,"[(0, 4, 'SKILL')]"
R,"[(0, 1, 'SKILL')]"
Git,"[(0, 2, 'SKILL')]"
Subversion,"[(0, 10, 'SKILL')]"
CVS,"[(0, 3, 'SKILL')]"
Perforce,"[(0, 8, 'SKILL')]"
IntelliJ IDEA,"[(0, 13, 'SKILL')]"
Eclipse,"[(0, 7, 'SKILL')]"
NetBeans,"[(0, 8, 'SKILL')]"
Visual Studio,"[(0, 14, 'SKILL')]"
Atom,"[(0, 3, 'SKILL')]"
Sublime Text,"[(0, 12, 'SKILL')]"
Vim,"[(0, 3, 'SKILL')]"
Emacs,"[(0, 5, 'SKILL')]"
Notepad++,"[(0, 9, 'SKILL')]"
Unit Testing,"[(0, 10, 'SKILL')]"
Integration Testing,"[(0, 18, 'SKILL')]"
Test-Driven Development (TDD),"[(0, 26, 'SKILL')]"
RESTful API Design,"[(0, 17, 'SKILL')]"
GraphQL,"[(0, 6, 'SKILL')]"
Microservices Architecture,"[(0, 24, 'SKILL')]"
Serverless Computing,"[(0, 21, 'SKILL')]"
Progressive Web Apps (PWAs),"[(0, 23, 'SKILL')]"
Cloud-Native Development,"[(0, 24, 'SKILL')]"
WebSockets,"[(0, 10, 'SKILL')]"
DevOps Practices,"[(0, 15, 'SKILL')]"
Continuous Integration/Continuous Deployment (CI/CD),"[(0, 49, 'SKILL')]"
Infrastructure as Code (IaC),"[(0, 26, 'SKILL')]"
Container Orchestration,"[(0, 24, 'SKILL')]"
Service Mesh,"[(0, 12, 'SKILL')]"
Observability,"[(0, 13, 'SKILL')]"
Distributed Systems Design,"[(0, 24, 'SKILL')]"
Load Balancing,"[(0, 14, 'SKILL')]"
Circuit Breaker Patterns,"[(0, 22, 'SKILL')]"
Agile Methodology,"[(0, 17, 'SKILL')]"
Scrum,"[(0, 5, 'SKILL')]"
Kanban,"[(0, 6, 'SKILL')]"
Design Patterns,"[(0, 15, 'SKILL')]"
Refactoring,"[(0, 11, 'SKILL')]"
Code Review,"[(0, 9, 'SKILL')]"
Pair Programming,"[(0, 15, 'SKILL')]"
Cross-Platform Development,"[(0, 23, 'SKILL')]"
Responsive Web Design,"[(0, 20, 'SKILL')]"
Mobile-First Development,"[(0, 21, 'SKILL')]"
Accessibility Standards,"[(0, 20, 'SKILL')]"
Performance Optimization,"[(0, 21, 'SKILL')]"
Code Profiling,"[(0, 12, 'SKILL')]"
Memory Management,"[(0, 15, 'SKILL')]"
Code Versioning (e.g., Git),"[(0, 22, 'SKILL')]"
Design Thinking,"[(0, 15, 'SKILL')]"
Behavioral Driven Development (BDD),"[(0, 30, 'SKILL')]"
Domain-Driven Design (DDD),"[(0, 26, 'SKILL')]"
Event-Driven Architecture,"[(0, 24, 'SKILL')]"
Continuous Learning and Adaptability,"[(0, 29, 'SKILL')]"
Data Scientist:,"[(0, 14, 'SKILL')]"
Data Exploration,"[(0, 15, 'SKILL')]"
Feature Engineering,"[(0, 18, 'SKILL')]"
Model Evaluation,"[(0, 15, 'SKILL')]"
Hypothesis Testing,"[(0, 18, 'SKILL')]"
A/B Testing,"[(0, 9, 'SKILL')]"
Bayesian Statistics,"[(0, 19, 'SKILL')]"
Time Series Analysis,"[(0, 19, 'SKILL')]"
Natural Language Processing (NLP),"[(0, 30, 'SKILL')]"
Sentiment Analysis,"[(0, 18, 'SKILL')]"
Predictive Modeling,"[(0, 18, 'SKILL')]"
Machine Learning Algorithms,"[(0, 24, 'SKILL')]"
Neural Networks,"[(0, 16, 'SKILL')]"
Deep Learning,"[(0, 12, 'SKILL')]"
Reinforcement Learning,"[(0, 22, 'SKILL')]"
Ensemble Learning,"[(0, 16, 'SKILL')]"
Cross-Validation,"[(0, 16, 'SKILL')]"
Hyperparameter Tuning,"[(0, 20, 'SKILL')]"
Dimensionality Reduction,"[(0, 21, 'SKILL')]"
Clustering Techniques,"[(0, 21, 'SKILL')]"
Data Wrangling,"[(0, 14, 'SKILL')]"
Data Cleaning,"[(0, 13, 'SKILL')]"
Data Visualization (e.g., Seaborn, Plotly),"[(0, 37, 'SKILL')]"
Dashboarding Tools (e.g., Tableau, Power BI),"[(0, 38, 'SKILL')]"
Feature Scaling,"[(0, 14, 'SKILL')]"
SQL,"[(0, 3, 'SKILL')]"
NoSQL Databases,"[(0, 17, 'SKILL')]"
Big Data Technologies (e.g., Hadoop, Spark),"[(0, 31, 'SKILL')]"
Data Governance,"[(0, 14, 'SKILL')]"
Ethical Data Handling,"[(0, 20, 'SKILL')]"
Data Privacy Regulations,"[(0, 24, 'SKILL')]"
Threat Intelligence,"[(0, 18, 'SKILL')]"
Security Incident Response,"[(0, 23, 'SKILL')]"
Penetration Testing,"[(0, 18, 'SKILL')]"
Vulnerability Assessment,"[(0, 22, 'SKILL')]"
Security Information and Event Management (SIEM),"[(0, 41, 'SKILL')]"
Firewall Configuration,"[(0, 21, 'SKILL')]"
Intrusion Detection Systems (IDS),"[(0, 29, 'SKILL')]"
Intrusion Prevention Systems (IPS),"[(0, 29, 'SKILL')]"
Security Auditing,"[(0, 16, 'SKILL')]"
Network Security,"[(0, 15, 'SKILL')]"
Endpoint Security,"[(0, 16, 'SKILL')]"
Identity and Access Management (IAM),"[(0, 30, 'SKILL')]"
Encryption Techniques,"[(0, 19, 'SKILL')]"
Secure Coding Practices,"[(0, 21, 'SKILL')]"
Application Security,"[(0, 19, 'SKILL')]"
Cloud Security,"[(0, 13, 'SKILL')]"
Incident Handling,"[(0, 16, 'SKILL')]"
Risk Management,"[(0, 14, 'SKILL')]"
Security Policies and Compliance,"[(0, 29, 'SKILL')]"
Security Awareness Training,"[(0, 24, 'SKILL')]"
Cloud Service Providers (e.g., AWS, Azure, GCP),"[(0, 37, 'SKILL')]"
Cloud Architecture Design,"[(0, 24, 'SKILL')]"
Hybrid Cloud Solutions,"[(0, 21, 'SKILL')]"
Multi-Cloud Strategies,"[(0, 21, 'SKILL')]"
Cloud Security,"[(0, 13, 'SKILL')]"
Identity and Access Management (IAM) in Cloud,"[(0, 38, 'SKILL')]"
Serverless Architectures,"[(0, 23, 'SKILL')]"
Cloud-Native Development,"[(0, 24, 'SKILL')]"
Microservices Deployment,"[(0, 22, 'SKILL')]"
DevOps in Cloud Environments,"[(0, 29, 'SKILL')]"
Cloud Cost Management,"[(0, 20, 'SKILL')]"
Disaster Recovery Planning,"[(0, 25, 'SKILL')]"
Cloud Networking,"[(0, 14, 'SKILL')]"
Containerization,"[(0, 16, 'SKILL')]"
Orchestration,"[(0, 13, 'SKILL')]"
Kubernetes,"[(0, 9, 'SKILL')]"
Infrastructure as Code ,"[(0, 23, 'SKILL')]"
Serverless Computing,"[(0, 21, 'SKILL')]"
API Gateway Configuration,"[(0, 24, 'SKILL')]"
Cloud Monitoring and Optimization,"[(0, 30, 'SKILL')]"
Cloud Governance,"[(0, 14, 'SKILL')]"
Routing Protocols,"[(0, 17, 'SKILL')]"
Switching Protocols,"[(0, 19, 'SKILL')]"
Network Security,"[(0, 15, 'SKILL')]"
Firewalls and Proxy Servers,"[(0, 26, 'SKILL')]"
Virtual Private Networks,"[(0, 24, 'SKILL')]"
VPN,"[(0, 3, 'SKILL')]"
Wireless Networking,"[(0, 19, 'SKILL')]"
Load Balancing,"[(0, 14, 'SKILL')]"
Network Monitoring Tools,"[(0, 24, 'SKILL')]"
Quality of Service (QoS),"[(0, 20, 'SKILL')]"
IP Addressing and Subnetting,"[(0, 27, 'SKILL')]"
Network Troubleshooting,"[(0, 23, 'SKILL')]"
Network Design,"[(0, 14, 'SKILL')]"
Cloud Networking,"[(0, 15, 'SKILL')]"
Software-Defined Networking (SDN),"[(0, 31, 'SKILL')]"
Network Automation,"[(0, 19, 'SKILL')]"
Network Configuration Management,"[(0, 28, 'SKILL')]"
Voice over IP (VoIP),"[(0, 19, 'SKILL')]"
Network Protocols (e.g., TCP/IP, UDP),"[(0, 37, 'SKILL')]"
Intrusion Detection Systems (IDS),"[(0, 32, 'SKILL')]"
Network Capacity Planning,"[(0, 24, 'SKILL')]"
User Research,"[(0, 12, 'SKILL')]"
Wireframing,"[(0, 11, 'SKILL')]"
Prototyping,"[(0, 11, 'SKILL')]"
User Persona Creation,"[(0, 21, 'SKILL')]"
Information Architecture,"[(0, 23, 'SKILL')]"
Interaction Design,"[(0, 18, 'SKILL')]"
Visual Design,"[(0, 13, 'SKILL')]"
Responsive Design Principles,"[(0, 26, 'SKILL')]"
Mobile App Design,"[(0, 17, 'SKILL')]"
Usability Testing,"[(0, 17, 'SKILL')]"
User-Centered Design (UCD),"[(0, 25, 'SKILL')]"
Design Thinking,"[(0, 14, 'SKILL')]"
Design Systems,"[(0, 15, 'SKILL')]"
Sketching and Illustration,"[(0, 24, 'SKILL')]"
Motion Design,"[(0, 13, 'SKILL')]"
Color Theory,"[(0, 12, 'SKILL')]"
Typography,"[(0, 10, 'SKILL')]"
A/B Testing,"[(0, 10, 'SKILL')]"
Figma or Sketch,"[(0, 14, 'SKILL')]"
Adobe Creative Suite,"[(0, 20, 'SKILL')]"
Mosyle MDM,"[(0, 11, 'SKILL')]"
Google Admin Console,"[(0, 20, 'SKILL')]"
OneLogin SAML,"[(0, 13, 'SKILL')]"
Microsoft Power Automate,"[(0, 23, 'SKILL')]"
Microsoft SharePoint,"[(0, 18, 'SKILL')]"
CAD modeling,"[(0, 11, 'SKILL')]"
Autodesk Fusion 360,"[(0, 19, 'SKILL')]"
Arduino,"[(0, 6, 'SKILL')]"
OS,"[(0, 1, 'SKILL')]"
GUI,"[(0, 2, 'SKILL')]"
